user_id,dolmus_km,otobus_km,metro_km,otomobil_km,ucak_km,haftalik_co2_kg,cluster
1,29.549,42.085,26.6135,70.8695,0.0,21.6821165,3
2,30.518,48.1025,53.319500000000005,111.37449999999998,0.0,31.040779000000004,0
3,35.5025,48.702,28.031,17.97,0.0,12.8485905,1
4,31.661,40.8505,35.603500000000004,20.807,0.0,12.517776000000001,1
5,48.9645,55.35699999999999,58.3935,92.372,0.0,30.336887,0
6,49.7108125,53.705999999999996,51.047,29.011000000000003,0.0,17.853334437500003,2
7,50.9055,68.2545,64.9054375,102.91100000000002,0.0,33.959385312500004,0
8,42.8765,58.6745,62.995937500000004,31.5865,0.0,18.4222938125,2
9,29.482,44.552499999999995,26.5385,81.9275,0.0,24.01453,3
10,26.2245,43.437,26.8625,75.685,0.0,22.353417999999998,3
11,49.2375,66.1274375,59.2199375,26.887999999999998,0.0,18.78284825,2
12,53.935312499999995,58.359500000000004,55.263999999999996,25.720999999999997,0.0,18.269228437499997,2
13,42.9055,60.028999999999996,52.29299999999999,21.752000000000002,0.0,16.2833525,2
14,26.563,46.4265,29.6065,16.3305,0.0,11.358387,1
15,49.5855,61.0505,61.251374999999996,90.39349999999999,0.0,30.635177125000002,0
16,30.981,62.49249999999999,57.815999999999995,25.6005,0.0,16.063503500000003,2
17,44.261,49.5549375,60.438,91.6605,0.0,29.214550437499998,0
18,33.027,43.6085,24.7175,82.864,0.0,24.454262,3
19,42.822500000000005,52.89300000000001,54.294500000000006,26.7615,0.0,16.67058,2
20,40.9688125,61.794000000000004,57.87950000000001,25.566499999999998,0.0,17.145629937499997,2
21,54.9703125,64.847875,71.091,35.8555,0.0,21.4654878125,2
22,26.549500000000002,51.903499999999994,28.125999999999998,9.5655,0.0,10.493590000000001,1
23,34.933,51.63250000000001,30.131,78.785,0.0,24.793892500000002,3
24,44.3913125,44.7905,50.317,24.5195,0.0,15.560194437499998,2
25,46.899,59.576499999999996,50.1165,30.966499999999996,0.0,18.395339,2
26,35.832499999999996,55.402499999999996,58.2204375,105.30550000000001,0.0,31.3079313125,0
27,48.7853125,69.872,58.34349999999999,34.741,0.0,20.541213437499998,2
28,30.303500000000003,35.5685,25.3445,27.534,0.0,12.824084500000001,1
29,49.678,73.7985,69.9585,97.199,0.0,33.391791999999995,0
30,38.3625,68.5325,61.6479375,126.35175,0.0,36.9282938125,0
31,33.310500000000005,46.5205,26.639999999999997,17.228,0.0,12.211208000000001,1
32,32.5325,52.079499999999996,42.8995,93.676,0.0,27.8635875,3
33,31.387,44.104,24.167,76.85600000000001,0.0,23.136958,3
34,37.9723125,38.3445,25.653,86.64750000000001,0.0,25.3136514375,3
35,33.3875,52.586,32.805,97.44800000000001,0.0,28.377907500000003,3
